player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Michael Bunting,ARI,LW,5,1,0,1,2,5,0,0,0,6,1
Filip Chlapik,OTT,C,5,1,0,1,4,9,0,0,0,1,4
Rourke Chartier,FA,C,13,1,0,1,2,19,0,0,0,14,3
Daniel Carr,NSH,LW,6,1,0,1,0,11,0,0,0,9,3
Calle Rosen,COL,D,4,1,0,1,0,5,0,0,0,1,2
Alex Formenton,OTT,LW,9,1,0,1,6,16,0,0,0,11,7
Alexandre Texier,CLS,C,2,1,0,1,0,6,0,0,0,2,1
Dominic Toninato,FLA,LW,2,1,0,1,0,1,0,0,0,0,1
Jacob MacDonald,COL,D,2,1,0,1,0,1,0,0,0,1,1
Kalle Kossila,TOR,C,8,1,0,1,4,11,1,0,0,5,3
Libor Hajek,NYR,D,5,1,0,1,6,10,0,0,0,5,3
Dante Fabbro,NSH,D,4,1,0,1,0,5,0,0,0,3,6
Tanner Fritz,NYI,LW,8,0,1,1,2,6,0,0,0,18,6
Blake Pietila,ANH,LW,19,0,1,1,6,22,0,0,0,36,8
Luke Johnson,MIN,C,15,0,1,1,8,19,0,1,0,31,9
Daniel Brickley,LA,D,4,0,1,1,0,2,0,0,0,5,4
Kristian Vesalainen,WPG,LW,5,0,1,1,0,1,0,0,0,1,1
Zach MacEwen,VAN,C,4,0,1,1,5,2,0,0,0,4,1
Jaret Anderson-Dolan,LA,C,5,0,1,1,0,6,0,0,0,5,2
Jacob Middleton,SJ,D,3,0,1,1,2,0,0,0,0,1,2
Kurtis MacDermid,LA,D,11,0,1,1,11,5,0,0,0,26,4
Nathan Walker,STL,C,3,0,1,1,2,2,0,0,0,5,0
Ashton Sautner,VAN,D,17,0,1,1,2,21,0,0,0,25,17
Brendan Guhle,ANH,D,8,0,1,1,4,15,0,0,0,9,7
Wade Megan,FA,C,11,0,1,1,2,16,0,0,0,4,4
Jimmy Schuldt,VGK,D,1,0,1,1,0,1,0,0,0,0,1
Benjamin Gleason,DAL,D,4,0,1,1,0,2,0,0,0,2,1
Connor Clifton,BOS,D,19,0,1,1,15,22,0,0,0,40,13
Eric Tangradi,FA,LW,6,0,1,1,0,10,0,0,0,11,4
Karl Alzner,MON,D,9,0,1,1,2,8,0,0,0,13,10
Justin Holl,TOR,D,11,0,1,1,2,6,0,0,0,9,5
Luca Sbisa,FA,D,9,0,1,1,4,5,0,0,0,17,7
Zac Dalpe,CLS,C,1,0,1,1,0,1,0,0,0,0,0
Stefan Elliott,FA,D,3,0,1,1,0,3,0,0,0,2,1
Ryan Murphy,FA,D,3,0,1,1,0,1,0,1,0,1,3
Matt Donovan,NSH,D,2,0,1,1,2,1,0,0,0,0,3
Kyle Rau,MIN,C,6,0,1,1,0,6,0,0,0,11,2
Sam Carrick,ANH,C,6,0,1,1,2,5,0,0,0,15,2
Zach Trotman,PIT,D,13,0,1,1,4,16,0,1,0,20,18
Cameron Schilling,WPG,D,4,0,1,1,0,2,0,0,0,3,5
Haydn Fleury,CAR,D,20,0,1,1,2,17,0,0,0,25,21
Jake Dotchin,STL,D,20,0,1,1,39,7,0,0,1,54,16
Justin Dowling,DAL,C,11,0,1,1,0,9,0,0,0,11,7
Brandon Davidson,CGY,D,10,0,1,1,15,7,0,0,0,17,15
Brian Lashoff,DET,D,4,0,1,1,2,2,0,0,0,3,4
Justin Bailey,VAN,RW,11,0,1,1,2,5,0,0,0,9,5
Dillon Heatherington,DAL,D,5,0,1,1,0,5,0,0,0,6,2
Remi Elie,BUF,LW,16,0,1,1,2,9,0,0,0,30,3
Trent Frederic,BOS,C,15,0,0,0,15,19,0,0,0,18,3
Tim Gettinger,NYR,LW,4,0,0,0,0,2,0,0,0,15,3
Vitali Abramov,OTT,RW,1,0,0,0,0,0,0,0,0,0,1
Ryan Lindgren,NYR,D,5,0,0,0,8,8,0,0,0,11,9
Janne Kuokkanen,CAR,LW,7,0,0,0,4,6,0,0,0,0,3
Dylan Gambrell,SJ,C,8,0,0,0,2,6,0,0,0,13,1
Nelson Nogier,WPG,D,1,0,0,0,0,1,0,0,0,0,1
John Gilmour,BUF,D,5,0,0,0,4,9,0,0,0,3,13
Rem Pitlick,NSH,C,1,0,0,0,2,0,0,0,0,0,0
Brandon Gignac,NJ,C,1,0,0,0,0,1,0,0,0,0,1
Colton White,NJ,D,3,0,0,0,2,1,0,0,0,2,2
Jack Rodewald,OTT,RW,6,0,0,0,0,2,0,0,0,8,3
Nick Lappin,STL,RW,11,0,0,0,0,11,0,0,0,16,3
Anthony Richard,NSH,C,1,0,0,0,0,0,0,0,0,0,1
Jake Chelios,FA,D,5,0,0,0,2,5,0,0,0,7,5
Logan Brown,OTT,C,2,0,0,0,0,2,0,0,0,0,1
Jake Bean,CAR,D,2,0,0,0,2,1,0,0,0,1,0
Patrick Russell,EDM,RW,6,0,0,0,2,6,0,0,0,9,2
Anton Lindholm,COL,D,2,0,0,0,0,0,0,0,0,1,1
Riley Stillman,FLA,D,1,0,0,0,2,1,0,0,0,5,0
Cooper Marody,EDM,C,6,0,0,0,0,6,0,0,0,0,0
Eric Robinson,CLS,LW,13,0,0,0,0,18,0,0,0,24,1
Sheldon Rempal,LA,LW,7,0,0,0,0,3,0,0,0,0,1
Anthony Greco,FLA,C,1,0,0,0,0,2,0,0,0,0,0
Maxim Mamin,FA,LW,7,0,0,0,5,8,0,0,0,10,1
Libor Sulak,FA,D,6,0,0,0,6,7,0,0,0,18,5
Erik Brannstrom,OTT,D,2,0,0,0,0,0,0,0,0,1,1
Urho Vaakanainen,BOS,D,2,0,0,0,0,2,0,0,0,0,0
Jakub Jerabek,FA,D,1,0,0,0,2,1,0,0,0,0,1
Justin Kloos,ANH,C,1,0,0,0,0,2,0,0,0,2,0
Ryan Lomberg,CGY,LW,4,0,0,0,17,1,0,0,0,12,0
Nikita Soshnikov,FA,LW,5,0,0,0,0,1,0,0,0,5,2
Joseph Blandisi,PIT,C,9,0,0,0,6,8,0,0,0,10,1
Dakota Mermis,NJ,D,1,0,0,0,0,0,0,0,0,0,0
Erik Burgdoerfer,WAS,D,4,0,0,0,2,2,0,0,0,16,0
Joe Hicketts,DET,D,11,0,0,0,0,16,0,0,0,17,27
Chase De Leo,ANH,C,1,0,0,0,0,4,0,0,0,1,0
Joel Hanley,DAL,D,16,0,0,0,2,9,0,0,0,16,16
Dominic Turgeon,DET,C,4,0,0,0,0,2,0,0,0,3,3
Louis Belpedio,MIN,D,2,0,0,0,0,0,0,0,0,1,4
Mark Friedman,PHI,D,1,0,0,0,0,1,0,0,0,1,0
Gabriel Carlsson,CLS,D,1,0,0,0,2,1,0,0,0,0,0
Guillaume Brisebois,VAN,D,8,0,0,0,0,5,0,0,0,3,7
Nicolas Roy,VGK,C,6,0,0,0,2,1,0,0,0,7,1
Jakub Zboril,BOS,D,2,0,0,0,0,1,0,0,0,3,0
Kole Sherwood,CLS,C,2,0,0,0,0,2,0,0,0,10,1
Dennis Gilbert,CHI,D,1,0,0,0,2,0,0,0,0,6,1
Kevin Stenlund,CLS,C,4,0,0,0,4,3,0,0,0,3,1
Kyle Capobianco,ARI,D,2,0,0,0,0,1,0,0,0,2,2
Anton Blidh,BOS,LW,1,0,0,0,0,0,0,0,0,6,1
Will Borgen,BUF,D,4,0,0,0,0,2,0,0,0,12,3
Brady Keeper,FLA,D,1,0,0,0,0,1,0,0,0,2,1
Nico Sturm,MIN,C,2,0,0,0,0,7,0,0,0,3,2
Brogan Rafferty,VAN,D,2,0,0,0,0,3,0,0,0,0,2
Blake Lizotte,LA,LW,1,0,0,0,0,1,0,0,0,0,1
Ryan Kuffner,DET,LW,10,0,0,0,0,8,0,0,0,4,5
Josh Teves,VAN,D,1,0,0,0,2,0,0,0,0,4,1
Colin Blackwell,NSH,C,6,0,0,0,2,5,0,0,0,10,3
Logan O'Connor,COL,C,5,0,0,0,0,1,0,0,0,4,1
Jacob Nilsson,CHI,C,2,0,0,0,0,0,0,0,0,1,1
Marc Methot,FA,D,9,0,0,0,6,3,0,0,0,15,10
Adam Cracknell,FA,C,2,0,0,0,0,3,0,0,0,6,0
Chris Thorburn,FA,RW,1,0,0,0,0,0,0,0,0,1,0
Lee Stempniak,FA,RW,2,0,0,0,0,0,0,0,0,2,0
Derek MacKenzie,FA,C,1,0,0,0,0,0,0,0,0,0,0
Patrick Eaves,ANH,RW,7,0,0,0,4,6,0,0,0,14,1
Mark Alt,COL,D,2,0,0,0,0,2,0,0,0,0,2
Anthony Peluso,EDM,RW,4,0,0,0,7,1,0,0,0,4,0
Stephen Gionta,FA,C,5,0,0,0,0,4,0,0,0,14,2
Dylan McIlrath,DET,D,7,0,0,0,4,6,0,0,0,19,7
Justin Falk,FA,D,10,0,0,0,11,7,0,0,0,36,9
Nate Prosser,PHI,D,15,0,0,0,2,10,0,0,0,17,13
Mark Letestu,WPG,C,2,0,0,0,0,1,0,0,0,3,0
Eric Gryba,FA,D,10,0,0,0,10,11,0,0,0,21,16
Cody Goloubef,OTT,D,5,0,0,0,2,3,0,0,0,13,5
Cameron Gaunce,TB,D,2,0,0,0,7,2,0,0,0,4,1
Brad Malone,EDM,C,16,0,0,0,4,13,0,0,0,35,5
Adam Clendening,CLS,D,4,0,0,0,0,3,0,0,0,1,3
Steven Fogarty,NYR,C,10,0,0,0,0,9,0,0,0,6,3
Paul Carey,BOS,RW,7,0,0,0,0,4,0,0,0,3,3
Matt Tennyson,NJ,D,4,0,0,0,0,4,0,0,0,10,2
Reid Boucher,VAN,RW,1,0,0,0,0,0,0,0,0,1,0
Cory Conacher,TB,LW,1,0,0,0,2,1,0,0,0,0,0
Nicolas Aube-Kubel,PHI,C,9,0,0,0,0,2,0,0,0,14,0
Joshua Jacobs,NJ,D,1,0,0,0,0,1,0,0,0,2,1
Andreas Englund,OTT,D,3,0,0,0,10,2,0,0,0,5,2
Kevin Roy,FLA,C,3,0,0,0,0,2,0,0,0,0,2
Danny O'Regan,NYR,C,1,0,0,0,0,2,0,0,0,0,0
Trevor Carrick,SJ,D,1,0,0,0,5,0,0,0,0,1,1
Curtis Lazar,BUF,C,1,0,0,0,0,0,0,0,0,0,1
Andrej Sustr,FA,D,5,0,0,0,6,6,0,0,0,3,7
Samuel Morin,PHI,D,5,0,0,0,4,5,0,0,0,9,7
Kerby Rychel,FA,LW,2,0,0,0,0,1,0,0,0,3,1
Laurent Dauphin,NSH,C,1,0,0,0,0,2,0,0,0,0,1
Marko Dano,CLS,C,8,0,0,0,7,3,0,0,0,16,3
Tyrell Goulbourne,VGK,LW,2,0,0,0,0,3,0,0,0,6,0
