player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Drew Stafford,FA,RW,57,5,8,13,18,77,0,2,0,50,19
Vladimir Sobotka,BUF,C,69,5,8,13,26,71,0,0,1,87,30
Brett Seney,NJ,LW,51,5,8,13,31,49,0,1,0,48,15
Troy Terry,ANH,C,32,4,9,13,2,25,0,6,0,4,12
Brendan Smith,NYR,D,63,4,9,13,71,66,0,0,1,100,48
John Moore,BOS,D,61,4,9,13,26,97,1,3,0,77,76
Jay Beagle,VAN,C,57,3,10,13,18,45,0,0,1,102,33
Marc Staal,NYR,D,79,3,10,13,32,84,0,0,0,94,119
Tim Heed,SJ,D,37,2,11,13,10,41,0,3,0,16,31
Jack Johnson,PIT,D,82,1,12,13,41,86,0,2,2,233,147
Par Lindholm,BOS,C,65,1,12,13,18,65,0,0,0,58,55
Victor Mete,MON,D,71,0,13,13,6,65,0,0,0,21,95
Tyler Pitlick,PHI,C,47,8,4,12,6,75,1,1,0,93,27
Jayce Hawryluk,FLA,C,42,7,5,12,16,35,0,1,0,101,25
Joakim Nordstrom,BOS,C,70,7,5,12,13,103,3,0,0,86,52
Tage Thompson,BUF,RW,65,7,5,12,20,108,0,1,0,66,9
Kiefer Sherwood,ANH,LW,50,6,6,12,8,60,1,0,0,79,19
Brad Hunt,MIN,D,42,5,7,12,8,75,1,8,0,18,28
Adam Gaudette,VAN,C,56,5,7,12,18,55,1,2,0,48,15
Christian Wolanin,OTT,D,30,4,8,12,6,36,1,3,0,11,31
Marcus Kruger,FA,C,74,4,8,12,30,74,2,0,1,51,34
Jamie Oleksiak,DAL,D,57,4,8,12,45,55,0,0,0,135,59
Jean-Gabriel Pageau,OTT,C,39,4,8,12,14,83,0,0,0,63,38
Derrick Pouliot,STL,D,62,3,9,12,30,58,1,1,0,76,71
Nathan Beaulieu,WPG,D,48,3,9,12,39,60,0,1,0,60,42
Riley Nash,CLS,C,78,3,9,12,19,79,1,0,0,72,43
Trevor Lewis,LA,C,44,3,9,12,9,87,1,0,0,53,25
Deryk Engelland,VGK,D,74,2,10,12,18,105,1,0,0,165,152
Chris Tanev,VAN,D,55,2,10,12,18,51,0,0,0,29,122
Henri Jokiharju,BUF,D,38,0,12,12,16,62,0,1,0,48,37
Matt Luff,LA,RW,33,8,3,11,9,45,2,1,0,17,19
Lukas Radil,SJ,LW,36,7,4,11,6,40,2,0,0,29,9
Sam Steel,ANH,C,22,6,5,11,8,33,0,2,1,9,6
Greg McKegg,NYR,C,41,6,5,11,8,27,1,0,0,30,18
Chandler Stephenson,WAS,RW,64,5,6,11,0,36,0,0,1,38,33
Dale Weise,MON,RW,51,5,6,11,19,58,1,0,1,88,21
Ty Rattie,FA,RW,50,4,7,11,4,84,1,1,0,57,7
Taylor Fedun,DAL,D,54,4,7,11,14,86,0,2,1,19,58
Mike Reilly,MON,D,57,3,8,11,16,101,1,1,0,48,53
Andrew Ladd,NYI,LW,26,3,8,11,16,34,0,0,1,37,8
Joel Edmundson,CAR,D,64,2,9,11,68,102,1,0,0,128,106
Connor Carrick,NJ,D,34,2,9,11,19,42,1,1,0,25,37
Mirco Mueller,NJ,D,53,1,10,11,17,39,0,0,0,75,61
Mark Pysyk,FLA,D,70,1,10,11,26,64,0,0,1,133,89
Tobias Rieder,CGY,RW,67,0,11,11,8,92,0,2,0,69,44
Kevin Rooney,NJ,C,41,6,4,10,15,39,1,0,1,77,22
Corey Perry,DAL,RW,31,6,4,10,27,59,1,4,0,21,14
Teddy Blueger,PIT,C,28,6,4,10,15,33,1,0,3,52,14
Chris Kunitz,FA,LW,56,5,5,10,23,44,1,0,0,85,15
Boo Nieves,NYR,C,43,4,6,10,8,34,1,0,0,33,18
Sean Walker,LA,D,39,3,7,10,8,55,0,1,0,43,40
Tim Schaller,VAN,C,47,3,7,10,9,44,0,0,0,66,18
Matthew Peca,MON,C,39,3,7,10,4,35,0,0,1,33,21
Mason Appleton,WPG,C,36,3,7,10,4,29,1,0,0,28,12
Dryden Hunt,FLA,LW,31,3,7,10,8,53,0,0,0,65,9
Brandon Carlo,BOS,D,72,2,8,10,47,116,0,0,2,134,88
Erik Gudbranson,PIT,D,76,2,8,10,87,94,1,0,1,184,84
Robert Bortuzzo,STL,D,59,2,8,10,47,75,0,0,1,95,72
Madison Bowey,DET,D,50,2,8,10,46,48,1,0,0,72,63
Michael Del Zotto,ANH,D,42,1,9,10,8,45,0,0,0,129,53
Patrik Nemeth,DET,D,74,1,9,10,53,57,0,0,1,137,131
Christian Djoos,WAS,D,45,1,9,10,4,33,0,0,0,18,28
Christian Jaros,OTT,D,61,1,9,10,27,65,0,2,0,110,82
Niklas Hjalmarsson,ARI,D,82,0,10,10,44,57,0,0,2,45,187
Valeri Nichushkin,COL,LW,57,0,10,10,0,65,0,0,0,71,32
William Carrier,VGK,LW,54,8,1,9,29,85,1,0,0,277,13
Kyle Brodziak,FA,C,70,6,3,9,33,74,2,0,1,92,46
Jesse Puljujarvi,FA,RW,46,4,5,9,16,53,0,1,0,46,26
Mario Kempe,LA,LW,52,4,5,9,18,57,0,0,0,105,30
Tom Kuhnhackl,NYI,RW,36,4,5,9,10,30,0,0,1,48,41
Jacob De La Rose,DET,C,60,3,6,9,16,55,0,0,0,72,29
Victor Rask,MIN,C,49,3,6,9,8,55,0,2,0,40,12
Ryan Spooner,FA,C,52,3,6,9,2,67,1,1,0,39,7
Jakob Forsbacka-Karlsson,BOS,C,28,3,6,9,2,21,0,1,0,14,9
Gustav Forsling,CAR,D,43,3,6,9,30,57,0,0,0,38,38
Christoffer Ehn,DET,C,60,3,6,9,6,49,1,0,1,70,39
Drake Batherson,OTT,RW,20,3,6,9,6,18,2,3,0,17,21
Brooks Orpik,FA,D,53,2,7,9,32,43,0,0,0,131,78
Ben Lovejoy,FA,D,71,2,7,9,37,95,0,0,0,76,118
Roman Polak,DAL,D,77,1,8,9,69,77,0,0,0,191,152
Radim Simek,SJ,D,41,1,8,9,8,41,1,0,0,67,34
Andrew MacDonald,FA,D,47,0,9,9,18,41,0,0,2,30,95
Ryan Kesler,ANH,C,60,5,3,8,44,86,1,3,0,93,56
Saku Maenalanen,FA,LW,34,4,4,8,20,36,0,0,0,45,10
Devante Smith-Pelly,FA,RW,54,4,4,8,15,60,0,0,0,78,36
J.T. Brown,MIN,RW,56,3,5,8,29,56,0,0,0,99,16
Stefan Noesen,PIT,C,41,3,5,8,28,64,0,0,0,95,21
Antti Suomela,SJ,C,27,3,5,8,4,42,0,0,0,10,11
Oliver Kylington,CGY,D,38,3,5,8,10,21,1,0,0,11,41
Colby Cave,EDM,C,53,3,5,8,16,58,1,0,0,73,18
Trevor Moore,TOR,LW,25,2,6,8,2,26,0,0,0,15,7
Jan Rutta,TB,D,37,2,6,8,16,42,0,0,0,24,30
Yannick Weber,NSH,D,62,2,6,8,18,67,0,0,0,64,32
Trevor Daley,DET,D,44,2,6,8,12,47,1,0,1,14,53
Jason Demers,ARI,D,35,2,6,8,12,39,2,1,0,50,43
Garrett Wilson,TOR,LW,50,2,6,8,18,54,0,0,0,114,16
Dmitrij Jaskin,FA,RW,37,2,6,8,6,48,0,0,0,87,14
Gabriel Bourque,WPG,LW,55,2,6,8,10,34,1,0,1,100,48
Kevin Connauton,COL,D,50,1,7,8,22,75,0,0,2,108,75
Dylan Sikura,CHI,LW,33,0,8,8,0,52,0,0,0,3,10
Bogdan Kiselevich,FA,D,32,0,8,8,12,14,0,0,0,49,21
Joey Anderson,NJ,RW,34,4,3,7,6,49,1,0,1,42,11
Markus Hannikainen,CLS,RW,44,4,3,7,2,52,1,0,0,63,8
Jamie McGinn,FA,LW,19,4,3,7,6,23,1,1,0,34,3
Michael Dal Colle,NYI,LW,28,3,4,7,2,34,2,0,0,10,8
Philip Varone,MON,C,47,3,4,7,8,34,0,0,0,23,19
Miikka Salomaki,NSH,RW,37,3,4,7,8,51,0,0,0,72,20
Carl Gunnarsson,STL,D,25,3,4,7,6,21,1,0,1,11,35
Adam McQuaid,FA,D,50,3,4,7,42,28,1,0,1,122,88
Igor Ozhiganov,FA,D,53,3,4,7,14,43,0,0,0,57,48
Nick Seeler,MIN,D,71,2,5,7,64,67,1,0,0,78,116
Maxime Comtois,ANH,LW,10,2,5,7,7,9,1,0,0,27,3
Christian Dvorak,ARI,LW,20,2,5,7,2,25,1,1,0,16,7
Egor Yakovlev,FA,D,25,2,5,7,6,24,0,0,0,12,22
Erik Haula,CAR,C,15,2,5,7,10,26,0,1,0,11,6
Chris Wideman,ANH,D,25,2,5,7,18,27,1,1,0,35,26
Joe Morrow,NJ,D,41,1,6,7,20,40,0,0,0,37,37
Matt Irwin,NSH,D,44,1,6,7,38,50,0,0,0,80,37
